DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n78,4,60,2,2,0,n78,1,40,2,2,0
n78,4,60,2,2,0,n78,2,40,2,2,0
n78,4,100,2,2,1,n78,2,100,2,2,1
7_n78,4,60,2,2,0,7_n78,1,40,2,2,0
7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
8_n78,4,60,2,2,0,8_n78,1,40,2,2,0
8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
7-8_n78,4,60,2,2,0,8_n78,1,40,2,2,0
7-8_n78,4,100,2,2,1,8_n78,1,100,2,2,1
7-8_n78,4,60,2,2,0,7_n78,1,40,2,2,0
7-8_n78,4,100,2,2,1,7_n78,1,100,2,2,1
