DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
5-66_n66;[4];[25];[2];[2];[0];5_n66;[1];[40];[1];[2];[0]
5-66_n78;[4];[100];[2];[2];[1];5_n78;[1];[100];[2];[2];[1]
5_n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];5_n78;[1];[100];[2];[2];[1]
7-12_n66;[2];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
7-12_n66;[4];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
7-12_n66;[4];[25];[2];[2];[0];12_n66;[1];[40];[1];[2];[0]
7-13_n66;[4];[20];[2];[2];[0];13_n66;[1];[30];[1];[2];[0]
7-13_n66;[4];[20];[2];[2];[0];13_n66;[1];[30];[1];[2];[0]
7-13_n66;[4];[25];[2];[2];[0];13_n66;[1];[40];[1];[2];[0]
7-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
7-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
7-66_n5;[2];[30];[1];[2];[0];66_n5;[1];[20];[1];[2];[0]
7-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
7-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
7-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
7-66_n71;[2];[30];[1];[2];[0];66_n71;[1];[20];[1];[2];[0]
7-66_n71;[2];[30];[1];[2];[0];66_n71;[1];[20];[1];[2];[0]
7-66_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
7-66_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
7-66_n5;[2];[30];[1];[2];[0];7_n5;[1];[20];[1];[2];[0]
7-66_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-66_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-66_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-66_n71;[2];[30];[1];[2];[0];7_n71;[1];[20];[1];[2];[0]
7-66_n71;[2];[30];[1];[2];[0];7_n71;[1];[20];[1];[2];[0]
7-7_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
7-7_n5;[2];[30];[1];[2];[0];7_n5;[1];[20];[1];[2];[0]
7-7_n66;[4];[25];[2];[2];[0];7_n66;[1];[40];[1];[2];[0]
7-7_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-25_n78;[4];[100];[2];[2];[1];25_n78;[1];[100];[2];[2];[1]
7-66_n66;[4];[25];[2];[2];[0];66_n66;[1];[40];[1];[2];[0]
7-12_n66;[4];[25];[2];[2];[0];7_n66;[1];[40];[1];[2];[0]
7-13_n66;[4];[20];[2];[2];[0];7_n66;[1];[30];[1];[2];[0]
7-13_n66;[4];[25];[2];[2];[0];7_n66;[1];[40];[1];[2];[0]
7-25_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-29_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-46_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
7-66_n66;[4];[25];[2];[2];[0];7_n66;[1];[40];[1];[2];[0]
7_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];7_n78;[1];[100];[2];[2];[1]
7_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];7_n66;[1];[40];[1];[2];[0]
