DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
7_n2,2,40,1,2,0,7_n2,1,20,1,2,0
7_n5,2,10,1,2,0,7_n5,1,10,1,2,0
7_n5,2,30,1,2,0,7_n5,1,20,1,2,0
7_n66,4,25,2,2,0,7_n66,1,40,1,2,0
7_n71,2,30,1,2,0,7_n71,1,20,1,2,0
7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
12_n2,2,30,1,2,0,12_n2,1,20,1,2,0
12_n2,2,40,1,2,0,12_n2,1,20,1,2,0
12_n7,2,30,2,2,0,12_n7,1,50,1,2,0
12_n41,4,40,2,2,0,12_n41,1,20,2,2,0
12_n41,4,100,2,2,1,12_n41,1,100,2,2,1
12_n66,2,30,1,2,0,12_n66,1,20,1,2,0
12_n66,2,40,1,2,0,12_n66,1,20,1,2,0
12_n66,4,25,2,2,0,12_n66,1,40,1,2,0
12_n78,4,100,2,2,1,12_n78,1,100,2,2,1
25_n41,4,40,2,2,0,25_n41,1,20,2,2,0
25_n41,4,100,2,2,1,25_n41,1,100,2,2,1
25_n78,4,100,2,2,1,25_n78,1,100,2,2,1
26_n41,4,40,2,2,0,26_n41,1,20,2,2,0
26_n41,4,100,2,2,1,26_n41,1,100,2,2,1
38_n78,4,100,2,2,1,38_n78,1,100,2,2,1
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
66_n2,2,40,1,2,0,66_n2,1,20,1,2,0
66_n7,2,30,2,2,0,66_n7,1,50,1,2,0
66_n41,4,40,2,2,0,66_n41,1,20,2,2,0
66_n41,4,100,2,2,1,66_n41,1,100,2,2,1
66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
71_n2,2,40,1,2,0,71_n2,1,20,1,2,0
71_n7,2,40,1,2,0,71_n7,1,20,1,2,0
71_n7,2,30,2,2,0,71_n7,1,50,1,2,0
71_n41,4,40,2,2,0,71_n41,1,20,2,2,0
71_n41,4,100,2,2,1,71_n41,1,100,2,2,1
71_n66,2,40,1,2,0,71_n66,1,20,1,2,0
71_n66,4,25,2,2,0,71_n66,1,40,1,2,0
71_n78,4,100,2,2,1,71_n78,1,100,2,2,1
n2_n5_n66,2;2;4,40;30;25,1;1;2,2;2;2,0;0;0,n66,1,40,1,2,0
n2_n5_n66,2;2;4,40;30;25,1;1;2,2;2;2,0;0;0,n5,1,20,1,2,0
n2_n5_n66,2;2;4,40;30;25,1;1;2,2;2;2,0;0;0,n2,1,20,1,2,0
n5_n7_n78,2;2;4,30;30;100,1;2;2,2;2;2,0;0;1,n78,2,100,2,2,1
n5_n7_n78,2;2;4,30;30;100,1;2;2,2;2;2,0;0;1,n7,1,50,1,2,0
n5_n66_n78,2;4;4,30;25;100,1;2;2,2;2;2,0;0;1,n78,2,100,2,2,1
n5_n66_n78,2;4;4,30;25;100,1;2;2,2;2;2,0;0;1,n66,1,40,1,2,0
n5_n7_n78,2;2;4,30;30;100,1;2;2,2;2;2,0;0;1,n5,1,20,1,2,0
n5_n66_n78,2;4;4,30;25;100,1;2;2,2;2;2,0;0;1,n5,1,20,1,2,0
n7_n66_n78,2;4;4,30;25;100,2;2;2,2;2;2,0;0;1,n78,2,100,2,2,1
n7_n66_n78,2;4;4,30;25;100,2;2;2,2;2;2,0;0;1,n66,1,40,1,2,0
n7_n66_n78,2;4;4,30;25;100,2;2;2,2;2;2,0;0;1,n7,1,50,1,2,0
n41_n66_n71,4;4;2,100;25;30,2;2;1,2;2;2,1;0;0,n71,1,20,1,2,0
n41_n66_n71,4;4;2,100;25;30,2;2;1,2;2;2,1;0;0,n66,1,40,1,2,0
n41_n66_n71,4;4;2,100;25;30,2;2;1,2;2;2,1;0;0,n41,1,100,2,2,1
n66_n71_n78,4;2;4,25;30;100,2;1;2,2;2;2,0;0;1,n78,2,100,2,2,1
n66_n71_n78,4;2;4,25;30;100,2;1;2,2;2;2,0;0;1,n71,1,20,1,2,0
n66_n71_n78,4;2;4,25;30;100,2;1;2,2;2;2,0;0;1,n66,1,40,1,2,0
2-2_n78,4,100,2,2,1,2_n78,1,100,2,2,1
2-2_n78,4,100,2,2,1,2_n78,1,100,2,2,1
2-5_n2,2,30,1,2,0,5_n2,1,20,1,2,0
2-5_n2,2,40,1,2,0,5_n2,1,20,1,2,0
2-5_n66,2,30,1,2,0,5_n66,1,20,1,2,0
2-5_n66,2,40,1,2,0,5_n66,1,20,1,2,0
2-5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
2-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
2-5_n78,4,100,2,2,1,5_n78,1,100,2,2,1
2-7_n5,2,10,1,2,0,7_n5,1,10,1,2,0
2-7_n5,2,10,1,2,0,7_n5,1,10,1,2,0
2-7_n5,2,10,1,2,0,7_n5,1,10,1,2,0
2-7_n5,2,30,1,2,0,7_n5,1,20,1,2,0
2-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
2-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
2-7_n78,4,100,2,2,1,7_n78,1,100,2,2,1
2-12_n2,2,30,1,2,0,12_n2,1,20,1,2,0
2-12_n2,2,40,1,2,0,12_n2,1,20,1,2,0
2-12_n41,4,40,2,2,0,12_n41,1,20,2,2,0
2-12_n41,4,40,2,2,0,12_n41,1,20,2,2,0
2-12_n41,4,100,2,2,1,12_n41,1,100,2,2,1
2-12_n66,2,30,1,2,0,12_n66,1,20,1,2,0
2-12_n66,2,40,1,2,0,12_n66,1,20,1,2,0
2-12_n66,4,25,2,2,0,12_n66,1,40,1,2,0
2-12_n78,4,100,2,2,1,12_n78,1,100,2,2,1
2-12_n78,4,100,2,2,1,12_n78,1,100,2,2,1
2-66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
2-66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
2-66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
2-66_n78,4,100,2,2,1,66_n78,1,100,2,2,1
