DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
2_n5,2,30,1,2,0,2_n5,1,20,1,2,0
2_n12,2,10,1,2,0,2_n12,1,10,1,2,0
2_n12,2,10,1,2,0,2_n12,1,10,1,2,0
2_n12,2,30,1,2,0,2_n12,1,20,1,2,0
2_n41,4,100,2,2,1,2_n41,1,100,2,2,1
2_n66,2,40,1,2,0,2_n66,1,20,1,2,0
2_n66,4,25,2,2,0,2_n66,1,40,1,2,0
2_n71,2,20,1,2,0,2_n71,1,15,1,2,0
2_n71,2,30,1,2,0,2_n71,1,20,1,2,0
2_n77,4,100,2,2,1,2_n77,1,100,2,2,1
2_n258,2,100,4,1,0,2_n258,1,100,None,None,None
2_n260,2,100,4,1,0,2_n260,1,100,None,None,None
2_n261,2,100,4,1,0,2_n261,1,100,None,None,None
5_n2,2,30,1,2,0,5_n2,1,20,1,2,0
5_n2,2,40,1,2,0,5_n2,1,20,1,2,0
5_n66,2,30,1,2,0,5_n66,1,20,1,2,0
5_n66,2,40,1,2,0,5_n66,1,20,1,2,0
5_n66,4,25,2,2,0,5_n66,1,40,1,2,0
5_n77,4,100,2,2,1,5_n77,1,100,2,2,1
5_n258,2,100,4,1,0,5_n258,1,100,None,None,None
5_n260,2,100,4,1,0,5_n260,1,100,None,None,None
5_n261,2,100,4,1,0,5_n261,1,100,None,None,None
12_n2,2,30,1,2,0,12_n2,1,20,1,2,0
12_n2,2,40,1,2,0,12_n2,1,20,1,2,0
12_n25,2,30,1,2,0,12_n25,1,20,1,2,0
12_n25,2,40,1,2,0,12_n25,1,20,1,2,0
12_n25,4,25,2,2,0,12_n25,1,40,1,2,0
12_n66,2,30,1,2,0,12_n66,1,20,1,2,0
12_n66,2,40,1,2,0,12_n66,1,20,1,2,0
12_n66,4,25,2,2,0,12_n66,1,40,1,2,0
12_n77,4,100,2,2,1,12_n77,1,100,2,2,1
12_n258,2,100,4,1,0,12_n258,1,100,None,None,None
12_n260,2,100,4,1,0,12_n260,1,100,None,None,None
12_n261,2,100,4,1,0,12_n261,1,100,None,None,None
13_n2,2,40,1,2,0,13_n2,1,20,1,2,0
13_n66,2,40,1,2,0,13_n66,1,20,1,2,0
13_n66,4,25,2,2,0,13_n66,1,40,1,2,0
13_n260,2,100,4,1,0,13_n260,1,100,None,None,None
13_n261,2,100,4,1,0,13_n261,1,100,None,None,None
48_n2,2,40,1,2,0,48_n2,1,20,1,2,0
48_n5,2,30,1,2,0,48_n5,1,20,1,2,0
48_n66,2,40,1,2,0,48_n66,1,20,1,2,0
48_n66,4,25,2,2,0,48_n66,1,40,1,2,0
48_n71,2,20,1,2,0,48_n71,1,15,1,2,0
48_n71,2,30,1,2,0,48_n71,1,20,1,2,0
48_n260,2,100,4,1,0,48_n260,1,100,None,None,None
48_n261,2,100,4,1,0,48_n261,1,100,None,None,None
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,10,1,2,0,66_n5,1,10,1,2,0
66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
66_n12,2,10,1,2,0,66_n12,1,10,1,2,0
66_n12,2,10,1,2,0,66_n12,1,10,1,2,0
66_n12,2,30,1,2,0,66_n12,1,20,1,2,0
66_n2,2,40,1,2,0,66_n2,1,20,1,2,0
66_n41,4,100,2,2,1,66_n41,1,100,2,2,1
66_n71,2,20,1,2,0,66_n71,1,15,1,2,0
66_n71,2,30,1,2,0,66_n71,1,20,1,2,0
66_n77,4,100,2,2,1,66_n77,1,100,2,2,1
66_n258,2,100,4,1,0,66_n258,1,100,None,None,None
66_n260,2,100,4,1,0,66_n260,1,100,None,None,None
66_n261,2,100,4,1,0,66_n261,1,100,None,None,None
71_n48,4,100,2,2,1,71_n48,1,100,2,2,1
n66_n260,2;2,40;100,1;4,2;1,0;0,n66_n260,1;1,20;100,1;None,2;None,0;None
