DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
13_n261,2,100,4,1,0,13_n261,1,100,None,None,None
48_n2,2,40,1,2,0,48_n2,1,20,1,2,0
48_n5,2,30,1,2,0,48_n5,1,20,1,2,0
48_n66,4,25,2,2,0,48_n66,1,40,1,2,0
48_n260,2,100,4,1,0,48_n260,1,100,None,None,None
48_n261,2,100,4,1,0,48_n261,1,100,None,None,None
66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
66_n5,2,30,1,2,0,66_n5,1,20,1,2,0
66_n77,4,100,2,2,1,66_n77,1,100,2,2,1
66_n77,4,100,2,2,1,66_n77,1,100,2,2,1
66_n2,2,40,1,2,0,66_n2,1,20,1,2,0
66_n66,4,25,2,2,0,66_n66,1,40,1,2,0
66_n260,2,100,4,1,0,66_n260,1,100,None,None,None
66_n261,2,100,4,1,0,66_n261,1,100,None,None,None
n2_n260,2;2,40;100,1;4,2;1,0;0,n2_n260,1;1,20;100,1;None,2;None,0;None
n2_n261,2;2,40;100,1;4,2;1,0;0,n2_n261,1;1,20;100,1;None,2;None,0;None
n5_n260,2;2,30;100,1;4,2;1,0;0,n5_n260,1;1,20;100,1;None,2;None,0;None
n5_n261,2;2,30;100,1;4,2;1,0;0,n5_n261,1;1,20;100,1;None,2;None,0;None
n66_n260,4;2,25;100,2;4,2;1,0;0,n66_n260,1;1,40;100,1;None,2;None,0;None
n66_n261,4;2,25;100,2;4,2;1,0;0,n66_n261,1;1,40;100,1;None,2;None,0;None
n77_n260,4;2,100;100,2;4,2;1,1;0,n77_n260,1;1,100;100,2;None,2;None,1;None
n77_n260,4;2,100;100,2;4,2;1,1;0,n77_n260,2;1,100;100,2;None,2;None,1;None
n77_n261,4;2,100;100,2;4,2;1,1;0,n77_n261,1;1,100;100,2;None,2;None,1;None
n77_n261,4;2,100;100,2;4,2;1,1;0,n77_n261,2;1,100;100,2;None,2;None,1;None
n2_n2_n66,2;2;2,30;30;25,1;1;2,2;2;2,0;0;0,n66,1,40,1,2,0
n2_n2_n66,2;2;4,40;40;25,1;1;2,2;2;2,0;0;0,n66,1,40,1,2,0
n2_n2_n77,2;2;4,30;30;100,1;1;2,2;2;2,0;0;1,n77,1,100,2,2,1
n2_n2_n77,2;2;4,40;40;100,1;1;2,2;2;2,0;0;1,n77,1,100,2,2,1
n2_n2_n77,2;2;4,40;40;100,1;1;2,2;2;2,0;0;1,n77,2,100,2,2,1
n2_n2_n66,2;2;2,30;30;25,1;1;2,2;2;2,0;0;0,n2,1,20,1,2,0
n2_n2_n66,2;2;4,40;40;25,1;1;2,2;2;2,0;0;0,n2,1,20,1,2,0
n2_n2_n77,2;2;4,30;30;100,1;1;2,2;2;2,0;0;1,n2,1,20,1,2,0
n2_n2_n77,2;2;4,40;40;100,1;1;2,2;2;2,0;0;1,n2,1,20,1,2,0
n2_n5_n66,2;2;2,30;30;25,1;1;2,2;2;2,0;0;0,n66,1,40,1,2,0
n2_n5_n66,2;2;4,40;30;25,1;1;2,2;2;2,0;0;0,n66,1,40,1,2,0
n2_n5_n77,2;2;4,30;30;100,1;1;2,2;2;2,0;0;1,n77,1,100,2,2,1
n2_n5_n77,2;2;4,40;30;100,1;1;2,2;2;2,0;0;1,n77,1,100,2,2,1
n2_n5_n77,2;2;4,40;30;100,1;1;2,2;2;2,0;0;1,n77,2,100,2,2,1
n2_n5_n66,2;2;2,30;30;25,1;1;2,2;2;2,0;0;0,n5,1,20,1,2,0
n2_n5_n66,2;2;4,40;30;25,1;1;2,2;2;2,0;0;0,n5,1,20,1,2,0
n2_n5_n77,2;2;4,30;30;100,1;1;2,2;2;2,0;0;1,n5,1,20,1,2,0
n2_n5_n77,2;2;4,40;30;100,1;1;2,2;2;2,0;0;1,n5,1,20,1,2,0
